Date,Year_Month,Commodity,Unit,City,Price_PKR
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Sargodha,433.31
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Multan,442.51
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Bahawalpur,424.59
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Karachi,439.6
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Hyderabad,433.92
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Sukkur,420.0
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Larkana,372.36
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Peshawar,435.96
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Bannu,425.79
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Quetta,454.98
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Khuzdar,280.0
2023-03-01,2023-03,Pulse Gram,1 Kg,National Average,255.62
2023-03-01,2023-03,Pulse Gram,1 Kg,Islamabad,281.98
2023-03-01,2023-03,Pulse Gram,1 Kg,Rawalpindi,261.87
2023-03-01,2023-03,Pulse Gram,1 Kg,Gujranwala,223.95
2023-03-01,2023-03,Pulse Gram,1 Kg,Sialkot,223.95
2023-03-01,2023-03,Pulse Gram,1 Kg,Lahore,246.76
2023-03-01,2023-03,Pulse Gram,1 Kg,Faisalabad,243.95
2023-03-01,2023-03,Pulse Gram,1 Kg,Sargodha,240.0
2023-03-01,2023-03,Pulse Gram,1 Kg,Multan,263.48
2023-03-01,2023-03,Pulse Gram,1 Kg,Bahawalpur,258.43
2023-03-01,2023-03,Pulse Gram,1 Kg,Karachi,277.89
2023-03-01,2023-03,Pulse Gram,1 Kg,Hyderabad,251.33
2023-03-01,2023-03,Pulse Gram,1 Kg,Sukkur,260.0
2023-03-01,2023-03,Pulse Gram,1 Kg,Larkana,243.9
2023-03-01,2023-03,Pulse Gram,1 Kg,Peshawar,264.42
2023-03-01,2023-03,Pulse Gram,1 Kg,Bannu,236.62
2023-03-01,2023-03,Pulse Gram,1 Kg,Quetta,307.9
2023-03-01,2023-03,Pulse Gram,1 Kg,Khuzdar,273.29
2023-03-01,2023-03,Potatoes,1 Kg,National Average,52.48
2023-03-01,2023-03,Potatoes,1 Kg,Islamabad,74.82
2023-03-01,2023-03,Potatoes,1 Kg,Rawalpindi,63.77
2023-03-01,2023-03,Potatoes,1 Kg,Gujranwala,52.06
2023-03-01,2023-03,Potatoes,1 Kg,Sialkot,49.32
2023-03-01,2023-03,Potatoes,1 Kg,Lahore,57.05
2023-03-01,2023-03,Potatoes,1 Kg,Faisalabad,49.43
2023-03-01,2023-03,Potatoes,1 Kg,Sargodha,50.2
2023-03-01,2023-03,Potatoes,1 Kg,Multan,51.23
2023-03-01,2023-03,Potatoes,1 Kg,Bahawalpur,55.78
2023-03-01,2023-03,Potatoes,1 Kg,Karachi,48.43
2023-03-01,2023-03,Potatoes,1 Kg,Hyderabad,44.21
2023-03-01,2023-03,Potatoes,1 Kg,Sukkur,43.73
2023-03-01,2023-03,Potatoes,1 Kg,Larkana,42.74
2023-03-01,2023-03,Potatoes,1 Kg,Peshawar,65.31
2023-03-01,2023-03,Potatoes,1 Kg,Bannu,51.44
2023-03-01,2023-03,Potatoes,1 Kg,Quetta,50.24
2023-03-01,2023-03,Potatoes,1 Kg,Khuzdar,51.86
2023-03-01,2023-03,Onions,1 Kg,National Average,134.16
2023-03-01,2023-03,Onions,1 Kg,Islamabad,180.53
2023-03-01,2023-03,Onions,1 Kg,Rawalpindi,163.56
2023-03-01,2023-03,Onions,1 Kg,Gujranwala,134.29
2023-03-01,2023-03,Onions,1 Kg,Sialkot,137.41
2023-03-01,2023-03,Onions,1 Kg,Lahore,139.46
2023-03-01,2023-03,Onions,1 Kg,Faisalabad,124.54
2023-03-01,2023-03,Onions,1 Kg,Sargodha,121.66
2023-03-01,2023-03,Onions,1 Kg,Multan,131.36
2023-03-01,2023-03,Onions,1 Kg,Bahawalpur,134.02
2023-03-01,2023-03,Onions,1 Kg,Karachi,122.59
2023-03-01,2023-03,Onions,1 Kg,Hyderabad,117.02
2023-03-01,2023-03,Onions,1 Kg,Sukkur,102.87
2023-03-01,2023-03,Onions,1 Kg,Larkana,116.94
2023-03-01,2023-03,Onions,1 Kg,Peshawar,151.58
2023-03-01,2023-03,Onions,1 Kg,Bannu,138.18
2023-03-01,2023-03,Onions,1 Kg,Quetta,143.5
2023-03-01,2023-03,Onions,1 Kg,Khuzdar,140.57
2023-03-01,2023-03,Tomatoes,1 Kg,National Average,64.76
2023-03-01,2023-03,Tomatoes,1 Kg,Islamabad,99.42
2023-03-01,2023-03,Tomatoes,1 Kg,Rawalpindi,86.33
2023-03-01,2023-03,Tomatoes,1 Kg,Gujranwala,84.21
2023-03-01,2023-03,Tomatoes,1 Kg,Sialkot,74.17
2023-03-01,2023-03,Tomatoes,1 Kg,Lahore,76.13
2023-03-01,2023-03,Tomatoes,1 Kg,Faisalabad,74.47
2023-03-01,2023-03,Tomatoes,1 Kg,Sargodha,67.6
2023-03-01,2023-03,Tomatoes,1 Kg,Multan,65.91
2023-03-01,2023-03,Tomatoes,1 Kg,Bahawalpur,74.16
2023-03-01,2023-03,Tomatoes,1 Kg,Karachi,45.54
2023-03-01,2023-03,Tomatoes,1 Kg,Hyderabad,38.0
2023-03-01,2023-03,Tomatoes,1 Kg,Sukkur,52.1
2023-03-01,2023-03,Tomatoes,1 Kg,Larkana,48.05
2023-03-01,2023-03,Tomatoes,1 Kg,Peshawar,76.77
2023-03-01,2023-03,Tomatoes,1 Kg,Bannu,60.23
2023-03-01,2023-03,Tomatoes,1 Kg,Quetta,55.7
2023-03-01,2023-03,Tomatoes,1 Kg,Khuzdar,55.29
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,National Average,279.43
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Islamabad,299.81
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Rawalpindi,292.67
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Gujranwala,262.46
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Sialkot,261.17
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Lahore,259.0
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Faisalabad,301.39
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Sargodha,313.3
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Multan,272.15
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Bahawalpur,270.0
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Karachi,293.61
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Hyderabad,281.56
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Sukkur,260.0
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Larkana,257.92
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Peshawar,275.8
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Bannu,250.0
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Quetta,314.97
2023-04-01,2023-04,Pulse Masoor (Washed),1 Kg,Khuzdar,296.63
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,National Average,280.94
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Islamabad,298.06
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Rawalpindi,273.81
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Gujranwala,260.0
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Sialkot,253.74
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Lahore,263.7
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Faisalabad,245.75
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Sargodha,296.63
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Multan,279.96
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Bahawalpur,270.0
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Karachi,299.11
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Hyderabad,282.02
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Sukkur,310.0
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Larkana,286.51
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Peshawar,266.62
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Bannu,260.0
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Quetta,332.45
2023-04-01,2023-04,Pulse Moong (Washed),1 Kg,Khuzdar,313.19
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,National Average,428.08
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Islamabad,455.66
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Rawalpindi,446.63
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Gujranwala,444.97
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Sialkot,442.42
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Lahore,422.35
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Faisalabad,446.47
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Sargodha,444.12
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Multan,455.89
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Bahawalpur,440.0
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Karachi,442.79
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Hyderabad,438.3
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Sukkur,420.0
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Larkana,383.36
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Peshawar,451.61
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Bannu,450.0
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Quetta,454.98
2023-04-01,2023-04,Pulse Mash (Washed),1 Kg,Khuzdar,280.0
2023-04-01,2023-04,Pulse Gram,1 Kg,National Average,247.06
2023-04-01,2023-04,Pulse Gram,1 Kg,Islamabad,274.97
2023-04-01,2023-04,Pulse Gram,1 Kg,Rawalpindi,257.4
2023-04-01,2023-04,Pulse Gram,1 Kg,Gujranwala,220.0
2023-04-01,2023-04,Pulse Gram,1 Kg,Sialkot,220.0
2023-04-01,2023-04,Pulse Gram,1 Kg,Lahore,236.58
2023-04-01,2023-04,Pulse Gram,1 Kg,Faisalabad,225.74
2023-04-01,2023-04,Pulse Gram,1 Kg,Sargodha,226.62
2023-04-01,2023-04,Pulse Gram,1 Kg,Multan,251.05
2023-04-01,2023-04,Pulse Gram,1 Kg,Bahawalpur,240.0
2023-04-01,2023-04,Pulse Gram,1 Kg,Karachi,264.66
2023-04-01,2023-04,Pulse Gram,1 Kg,Hyderabad,238.62
2023-04-01,2023-04,Pulse Gram,1 Kg,Sukkur,260.0
2023-04-01,2023-04,Pulse Gram,1 Kg,Larkana,240.0
2023-04-01,2023-04,Pulse Gram,1 Kg,Peshawar,263.58
2023-04-01,2023-04,Pulse Gram,1 Kg,Bannu,231.6
2023-04-01,2023-04,Pulse Gram,1 Kg,Quetta,289.93
2023-04-01,2023-04,Pulse Gram,1 Kg,Khuzdar,273.29
2023-04-01,2023-04,Potatoes,1 Kg,National Average,67.93
2023-04-01,2023-04,Potatoes,1 Kg,Islamabad,88.93
2023-04-01,2023-04,Potatoes,1 Kg,Rawalpindi,82.52
2023-04-01,2023-04,Potatoes,1 Kg,Gujranwala,70.54
2023-04-01,2023-04,Potatoes,1 Kg,Sialkot,62.35
2023-04-01,2023-04,Potatoes,1 Kg,Lahore,70.17
2023-04-01,2023-04,Potatoes,1 Kg,Faisalabad,65.53
2023-04-01,2023-04,Potatoes,1 Kg,Sargodha,66.27
2023-04-01,2023-04,Potatoes,1 Kg,Multan,69.3
2023-04-01,2023-04,Potatoes,1 Kg,Bahawalpur,71.21
2023-04-01,2023-04,Potatoes,1 Kg,Karachi,62.53
2023-04-01,2023-04,Potatoes,1 Kg,Hyderabad,58.13
2023-04-01,2023-04,Potatoes,1 Kg,Sukkur,60.0
2023-04-01,2023-04,Potatoes,1 Kg,Larkana,52.33
2023-04-01,2023-04,Potatoes,1 Kg,Peshawar,80.54
2023-04-01,2023-04,Potatoes,1 Kg,Bannu,71.08
2023-04-01,2023-04,Potatoes,1 Kg,Quetta,64.48
2023-04-01,2023-04,Potatoes,1 Kg,Khuzdar,68.22
2023-04-01,2023-04,Onions,1 Kg,National Average,82.94
2023-04-01,2023-04,Onions,1 Kg,Islamabad,116.48
2023-04-01,2023-04,Onions,1 Kg,Rawalpindi,111.29
2023-04-01,2023-04,Onions,1 Kg,Gujranwala,80.63
2023-04-01,2023-04,Onions,1 Kg,Sialkot,76.24
2023-04-01,2023-04,Onions,1 Kg,Lahore,81.37
2023-04-01,2023-04,Onions,1 Kg,Faisalabad,71.74
2023-04-01,2023-04,Onions,1 Kg,Sargodha,78.83
2023-04-01,2023-04,Onions,1 Kg,Multan,64.99
2023-04-01,2023-04,Onions,1 Kg,Bahawalpur,77.39
2023-04-01,2023-04,Onions,1 Kg,Karachi,85.77
2023-04-01,2023-04,Onions,1 Kg,Hyderabad,79.81
2023-04-01,2023-04,Onions,1 Kg,Sukkur,69.64
2023-04-01,2023-04,Onions,1 Kg,Larkana,63.15
2023-04-01,2023-04,Onions,1 Kg,Peshawar,97.74
2023-04-01,2023-04,Onions,1 Kg,Bannu,81.4
2023-04-01,2023-04,Onions,1 Kg,Quetta,92.83
2023-04-01,2023-04,Onions,1 Kg,Khuzdar,101.52
2023-04-01,2023-04,Tomatoes,1 Kg,National Average,55.84
2023-04-01,2023-04,Tomatoes,1 Kg,Islamabad,90.41
2023-04-01,2023-04,Tomatoes,1 Kg,Rawalpindi,87.46
2023-04-01,2023-04,Tomatoes,1 Kg,Gujranwala,77.03
2023-04-01,2023-04,Tomatoes,1 Kg,Sialkot,68.45
2023-04-01,2023-04,Tomatoes,1 Kg,Lahore,68.36
2023-04-01,2023-04,Tomatoes,1 Kg,Faisalabad,58.01
2023-04-01,2023-04,Tomatoes,1 Kg,Sargodha,57.97
2023-04-01,2023-04,Tomatoes,1 Kg,Multan,44.96
2023-04-01,2023-04,Tomatoes,1 Kg,Bahawalpur,45.15
2023-04-01,2023-04,Tomatoes,1 Kg,Karachi,58.02
2023-04-01,2023-04,Tomatoes,1 Kg,Hyderabad,47.68
2023-04-01,2023-04,Tomatoes,1 Kg,Sukkur,27.83
2023-04-01,2023-04,Tomatoes,1 Kg,Larkana,32.27
2023-04-01,2023-04,Tomatoes,1 Kg,Peshawar,72.72
2023-04-01,2023-04,Tomatoes,1 Kg,Bannu,58.56
2023-04-01,2023-04,Tomatoes,1 Kg,Quetta,52.15
2023-04-01,2023-04,Tomatoes,1 Kg,Khuzdar,46.42
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,National Average,284.68
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Islamabad,299.81
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Rawalpindi,292.67
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Gujranwala,267.46
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Sialkot,263.74
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Lahore,268.79
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Faisalabad,301.39
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Sargodha,313.3
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Multan,285.44
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Bahawalpur,270.0
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Karachi,302.57
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Hyderabad,283.85
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Sukkur,260.0
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Larkana,266.21
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Peshawar,280.0
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Bannu,272.75
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Quetta,324.97
2023-05-01,2023-05,Pulse Masoor (Washed),1 Kg,Khuzdar,296.63
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,National Average,282.93
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Islamabad,298.06
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Rawalpindi,273.81
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Gujranwala,257.46
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Sialkot,257.46
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Lahore,267.03
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Faisalabad,259.81
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Sargodha,296.63
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Multan,275.16
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Bahawalpur,270.0
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Karachi,304.1
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Hyderabad,286.92
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Sukkur,310.0
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Larkana,287.95
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Peshawar,269.93
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Bannu,255.72
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Quetta,342.45
2023-05-01,2023-05,Pulse Moong (Washed),1 Kg,Khuzdar,313.19
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,National Average,443.43
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Islamabad,465.58
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Rawalpindi,451.25
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Gujranwala,460.0
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Sialkot,453.74
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Lahore,443.59
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Faisalabad,454.88
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Sargodha,449.12
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Multan,471.27
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Bahawalpur,445.75
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Karachi,453.46
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Hyderabad,471.14
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Sukkur,420.0
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Larkana,464.76
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Peshawar,460.51
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Bannu,457.48
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Quetta,482.46
2023-05-01,2023-05,Pulse Mash (Washed),1 Kg,Khuzdar,280.0
2023-05-01,2023-05,Pulse Gram,1 Kg,National Average,250.32
2023-05-01,2023-05,Pulse Gram,1 Kg,Islamabad,277.65
2023-05-01,2023-05,Pulse Gram,1 Kg,Rawalpindi,256.41
2023-05-01,2023-05,Pulse Gram,1 Kg,Gujranwala,230.74
2023-05-01,2023-05,Pulse Gram,1 Kg,Sialkot,234.97
2023-05-01,2023-05,Pulse Gram,1 Kg,Lahore,236.58
2023-05-01,2023-05,Pulse Gram,1 Kg,Faisalabad,233.29
2023-05-01,2023-05,Pulse Gram,1 Kg,Sargodha,239.15
2023-05-01,2023-05,Pulse Gram,1 Kg,Multan,251.32
2023-05-01,2023-05,Pulse Gram,1 Kg,Bahawalpur,251.64
2023-05-01,2023-05,Pulse Gram,1 Kg,Karachi,265.81
2023-05-01,2023-05,Pulse Gram,1 Kg,Hyderabad,242.04
2023-05-01,2023-05,Pulse Gram,1 Kg,Sukkur,260.0
2023-05-01,2023-05,Pulse Gram,1 Kg,Larkana,240.0
2023-05-01,2023-05,Pulse Gram,1 Kg,Peshawar,262.75
2023-05-01,2023-05,Pulse Gram,1 Kg,Bannu,224.94
2023-05-01,2023-05,Pulse Gram,1 Kg,Quetta,284.7
2023-05-01,2023-05,Pulse Gram,1 Kg,Khuzdar,273.29
2023-05-01,2023-05,Potatoes,1 Kg,National Average,79.51
2023-05-01,2023-05,Potatoes,1 Kg,Islamabad,105.67
2023-05-01,2023-05,Potatoes,1 Kg,Rawalpindi,96.85
2023-05-01,2023-05,Potatoes,1 Kg,Gujranwala,86.18
2023-05-01,2023-05,Potatoes,1 Kg,Sialkot,69.76
2023-05-01,2023-05,Potatoes,1 Kg,Lahore,79.8
2023-05-01,2023-05,Potatoes,1 Kg,Faisalabad,73.91
2023-05-01,2023-05,Potatoes,1 Kg,Sargodha,74.84
2023-05-01,2023-05,Potatoes,1 Kg,Multan,82.01
2023-05-01,2023-05,Potatoes,1 Kg,Bahawalpur,84.85
2023-05-01,2023-05,Potatoes,1 Kg,Karachi,71.57
2023-05-01,2023-05,Potatoes,1 Kg,Hyderabad,70.54
2023-05-01,2023-05,Potatoes,1 Kg,Sukkur,70.0
2023-05-01,2023-05,Potatoes,1 Kg,Larkana,64.8
2023-05-01,2023-05,Potatoes,1 Kg,Peshawar,89.07
2023-05-01,2023-05,Potatoes,1 Kg,Bannu,87.8
2023-05-01,2023-05,Potatoes,1 Kg,Quetta,74.89
2023-05-01,2023-05,Potatoes,1 Kg,Khuzdar,80.0
2023-05-01,2023-05,Onions,1 Kg,National Average,56.33
2023-05-01,2023-05,Onions,1 Kg,Islamabad,82.75
2023-05-01,2023-05,Onions,1 Kg,Rawalpindi,74.75
2023-05-01,2023-05,Onions,1 Kg,Gujranwala,56.19
2023-05-01,2023-05,Onions,1 Kg,Sialkot,57.19
2023-05-01,2023-05,Onions,1 Kg,Lahore,57.29
2023-05-01,2023-05,Onions,1 Kg,Faisalabad,47.85
2023-05-01,2023-05,Onions,1 Kg,Sargodha,48.75
2023-05-01,2023-05,Onions,1 Kg,Multan,51.77
2023-05-01,2023-05,Onions,1 Kg,Bahawalpur,54.77
2023-05-01,2023-05,Onions,1 Kg,Karachi,54.21
2023-05-01,2023-05,Onions,1 Kg,Hyderabad,51.15
2023-05-01,2023-05,Onions,1 Kg,Sukkur,52.33
2023-05-01,2023-05,Onions,1 Kg,Larkana,45.41
2023-05-01,2023-05,Onions,1 Kg,Peshawar,69.05
2023-05-01,2023-05,Onions,1 Kg,Bannu,48.91
2023-05-01,2023-05,Onions,1 Kg,Quetta,59.65
2023-05-01,2023-05,Onions,1 Kg,Khuzdar,57.93
2023-05-01,2023-05,Tomatoes,1 Kg,National Average,42.26
2023-05-01,2023-05,Tomatoes,1 Kg,Islamabad,74.19
2023-05-01,2023-05,Tomatoes,1 Kg,Rawalpindi,69.19
2023-05-01,2023-05,Tomatoes,1 Kg,Gujranwala,48.75
2023-05-01,2023-05,Tomatoes,1 Kg,Sialkot,38.84
2023-05-01,2023-05,Tomatoes,1 Kg,Lahore,40.58
2023-05-01,2023-05,Tomatoes,1 Kg,Faisalabad,40.32
2023-05-01,2023-05,Tomatoes,1 Kg,Sargodha,40.0
2023-05-01,2023-05,Tomatoes,1 Kg,Multan,28.76
2023-05-01,2023-05,Tomatoes,1 Kg,Bahawalpur,32.24
2023-05-01,2023-05,Tomatoes,1 Kg,Karachi,54.41
2023-05-01,2023-05,Tomatoes,1 Kg,Hyderabad,49.03
2023-05-01,2023-05,Tomatoes,1 Kg,Sukkur,23.78
2023-05-01,2023-05,Tomatoes,1 Kg,Larkana,22.21
2023-05-01,2023-05,Tomatoes,1 Kg,Peshawar,57.1
2023-05-01,2023-05,Tomatoes,1 Kg,Bannu,41.2
2023-05-01,2023-05,Tomatoes,1 Kg,Quetta,47.13
2023-05-01,2023-05,Tomatoes,1 Kg,Khuzdar,47.52
