ds,y,commodity,unit,month,quarter,month_sin,month_cos,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,price_diff_1,mom_pct_change_1
2025-10-01,264.57,Tomatoes,1 Kg,10,4,-0.8660254037844386,0.5000000000000001,198.04,112.16,85.63,64.93,138.29,131.94333333333333,58.7582950172428,98.30166666666666,53.244164907214625,85.88,76.56918687589157
2025-11-01,135.99,Tomatoes,1 Kg,11,4,-0.5000000000000004,0.8660254037844384,264.57,198.04,112.16,49.05,165.65,191.59,76.40944902301027,131.575,82.53909104176033,66.53,33.5942233892143
2025-12-01,76.69,Tomatoes,1 Kg,12,4,-2.4492935982947064e-16,1.0,135.99,264.57,198.04,80.0,178.45,199.53333333333333,64.30300640975767,146.065,72.12886211496755,-128.57999999999998,-48.59961446876063
2026-01-01,79.38,Tomatoes,1 Kg,1,1,0.49999999999999994,0.8660254037844387,76.69,135.99,264.57,85.63,119.02,159.08333333333334,96.04530250529349,145.51333333333332,72.74523232945694,-59.30000000000001,-43.60614751084639
2026-02-01,93.8,Tomatoes,1 Kg,2,1,0.8660254037844386,0.5000000000000001,79.38,76.69,135.99,112.16,58.21,97.35333333333334,33.487356320458325,144.47166666666666,73.81116159949434,2.6899999999999977,3.5076281131829417
2026-03-01,71.38,Tomatoes,1 Kg,3,1,1.0,6.123233995736766e-17,93.8,79.38,76.69,198.04,73.04,83.29,9.200766272436587,141.41166666666666,75.77312225760971,14.420000000000002,18.165784832451504
2026-04-01,78.51,Tomatoes,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,71.38,93.8,79.38,264.57,64.93,81.52,11.362165286599499,120.30166666666668,74.47375898037286,-22.42,-23.901918976545844
2026-05-01,60.91,Tomatoes,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,78.51,71.38,93.8,135.99,49.05,81.23,11.454819946206342,89.29166666666667,24.063144779239973,7.13000000000001,9.98879237881761
2026-06-01,96.24,Tomatoes,1 Kg,6,2,1.2246467991473532e-16,-1.0,60.91,78.51,71.38,76.69,80.0,70.26666666666667,8.852662499685628,76.77833333333332,10.774583828002955,-17.60000000000001,-22.41752642975418
2026-07-01,264.13,Tomatoes,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,96.24,60.91,78.51,79.38,85.63,78.55333333333334,17.665039862206367,80.03666666666666,13.382873632619532,35.33,58.00361188638976
2024-03-01,221.59,Onions,1 Kg,3,1,1.0,6.123233995736766e-17,221.59,214.14,167.38,84.39,134.16,201.03666666666666,29.384588364197626,153.50333333333333,56.93721196780424,7.450000000000017,3.479032408704594
2024-04-01,192.31,Onions,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,221.59,221.59,214.14,106.1,82.94,219.10666666666668,4.301259505463497,176.37,50.85482317342186,0.0,0.0
2024-05-01,113.91,Onions,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,192.31,221.59,221.59,127.42,56.33,211.83,16.904815881872413,190.73833333333334,37.43950289021841,-29.28,-13.21359267114942
2024-06-01,129.98,Onions,1 Kg,6,2,1.2246467991473532e-16,-1.0,113.91,192.31,221.59,167.38,60.67,175.93666666666664,55.67593854919137,188.48666666666668,42.122543449638364,-78.4,-40.76751078987053
2024-07-01,112.88,Onions,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,129.98,113.91,192.31,214.14,58.97,145.4,41.41222404073457,182.25333333333333,48.19949239013489,16.069999999999993,14.107628829777887
2024-08-01,134.87,Onions,1 Kg,8,3,-0.8660254037844385,-0.5000000000000004,112.88,129.98,113.91,221.59,65.96,118.92333333333333,9.589193570541862,165.37666666666667,52.350594902700685,-17.099999999999994,-13.155870133866745
2024-09-01,149.2,Onions,1 Kg,9,3,-1.0,-1.8369701987210297e-16,134.87,112.88,129.98,221.59,84.39,125.91000000000001,11.54615520422231,150.92333333333332,45.21116838422415,21.99000000000001,19.48086463501064
2024-10-01,154.97,Onions,1 Kg,10,4,-0.8660254037844386,0.5000000000000001,149.2,134.87,112.88,192.31,106.1,132.3166666666667,18.294131117200532,138.85833333333335,29.51628527892133,14.329999999999984,10.625046340920875
2024-11-01,149.69,Onions,1 Kg,11,4,-0.5000000000000004,0.8660254037844384,154.97,149.2,134.87,113.91,127.42,146.34666666666666,10.349330091041088,132.635,17.471012277484117,5.77000000000001,3.867292225201079
2024-12-01,141.85,Onions,1 Kg,12,4,-2.4492935982947064e-16,1.0,149.69,154.97,149.2,129.98,167.38,151.28666666666666,3.19925512163846,138.59833333333333,15.830733926974702,-5.280000000000001,-3.4071110537523404
2025-01-01,118.07,Onions,1 Kg,1,1,0.49999999999999994,0.8660254037844387,141.85,149.69,154.97,112.88,214.14,148.83666666666667,6.601494780224351,140.57666666666668,15.270072254795258,-7.840000000000003,-5.237490814349658
2025-02-01,88.62,Onions,1 Kg,2,1,0.8660254037844386,0.5000000000000001,118.07,141.85,149.69,134.87,221.59,136.53666666666666,16.466017531064587,141.44166666666666,13.422599475014817,-23.78,-16.764187522030316
2025-03-01,69.8,Onions,1 Kg,3,1,1.0,6.123233995736766e-17,88.62,118.07,141.85,149.2,221.59,116.18000000000002,26.66528267241859,133.73333333333332,25.6564305129663,-29.44999999999999,-24.942830524265258
2025-04-01,56.54,Onions,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,69.8,88.62,118.07,154.97,192.31,92.16333333333334,24.329295783752436,120.5,34.89638605930423,-18.820000000000007,-21.23674114195442
2025-05-01,45.51,Onions,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,56.54,69.8,88.62,149.69,113.91,71.65333333333335,16.1201033909001,104.09500000000001,38.410272974817595,-13.259999999999998,-18.997134670487103
2025-06-01,50.0,Onions,1 Kg,6,2,1.2246467991473532e-16,-1.0,45.51,56.54,69.8,141.85,129.98,57.28333333333334,12.162048895367306,86.73166666666667,37.20519179720312,-11.030000000000001,-19.50831269897418
2025-07-01,55.97,Onions,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,50.0,45.51,56.54,118.07,112.88,50.68333333333334,5.546659655441593,71.42333333333333,27.663136963595996,4.490000000000002,9.865963524500113
2025-08-01,69.73,Onions,1 Kg,8,3,-0.8660254037844385,-0.5000000000000004,55.97,50.0,45.51,88.62,134.87,50.49333333333334,5.247421589057181,61.07333333333333,15.78863346419417,5.969999999999999,11.939999999999998
2025-09-01,86.43,Onions,1 Kg,9,3,-1.0,-1.8369701987210297e-16,69.73,55.97,50.0,69.8,149.2,58.566666666666684,10.11806470296101,57.925000000000004,10.030471075677628,13.760000000000005,24.584598892263724
2025-10-01,110.52,Onions,1 Kg,10,4,-0.8660254037844386,0.5000000000000001,86.43,69.73,55.97,56.54,154.97,70.71000000000002,15.253629076386222,60.696666666666665,15.023170992392787,16.700000000000003,23.949519575505523
2025-11-01,143.35,Onions,1 Kg,11,4,-0.5000000000000004,0.8660254037844384,110.52,86.43,69.73,45.51,149.69,88.89333333333336,20.50626814740587,69.69333333333334,24.93160617903851,24.08999999999999,27.8722665741062
2025-12-01,99.62,Onions,1 Kg,12,4,-2.4492935982947064e-16,1.0,143.35,110.52,86.43,50.0,141.85,113.43333333333334,28.57161586843345,86.0,35.64534078950576,32.83,29.705030763662688
2026-01-01,74.0,Onions,1 Kg,1,1,0.49999999999999994,0.8660254037844387,99.62,143.35,110.52,55.97,118.07,117.83,22.763024842933024,94.27,31.08729193738178,-43.72999999999999,-30.50575514475061
2026-02-01,68.89,Onions,1 Kg,2,1,0.8660254037844386,0.5000000000000001,74.0,99.62,143.35,69.73,88.62,105.65666666666668,35.06688799042932,97.27499999999999,27.28333319079621,-25.620000000000005,-25.71772736398314
2026-03-01,68.13,Onions,1 Kg,3,1,1.0,6.123233995736766e-17,68.89,74.0,99.62,86.43,69.8,80.83666666666669,16.466275636382086,97.13499999999999,27.454562280247746,-5.109999999999999,-6.905405405405404
2026-04-01,74.43,Onions,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,68.13,68.89,74.0,110.52,56.54,70.34000000000002,3.1923502314085694,94.085,29.798130646065747,-0.7600000000000051,-1.103208012773995
2026-05-01,70.08,Onions,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,74.43,68.13,68.89,143.35,45.51,70.48333333333335,3.438972714824553,88.07,29.457669290016874,6.300000000000011,9.24702774108324
2026-06-01,90.5,Onions,1 Kg,6,2,1.2246467991473532e-16,-1.0,70.08,74.43,68.13,99.62,50.0,70.88000000000001,3.2252906845700786,75.85833333333333,11.931339265424942,-4.3500000000000085,-5.84441757355906
2026-07-01,101.81,Onions,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,90.5,70.08,74.43,74.0,55.97,78.33666666666669,10.75595803884107,74.33833333333332,8.338866629624857,20.42,29.13812785388128
2024-03-01,68.35,Potatoes,1 Kg,3,1,1.0,6.123233995736766e-17,68.35,59.24,83.25,95.35,52.48,70.28,12.120796178469467,85.20666666666666,18.45866806318015,9.109999999999992,15.378122889939217
2024-04-01,72.2,Potatoes,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,68.35,68.35,59.24,98.13,67.93,65.31333333333333,5.259660952317474,80.70666666666666,18.77962796933599,0.0,0.0
2024-05-01,87.85,Potatoes,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,72.2,68.35,68.35,106.92,79.51,69.63333333333333,2.222798536380064,76.385,16.852905684183956,3.8500000000000085,5.632772494513547
2024-06-01,95.4,Potatoes,1 Kg,6,2,1.2246467991473532e-16,-1.0,87.85,72.2,68.35,83.25,84.52,76.13333333333333,10.327915246231129,73.20666666666666,10.569307766673576,15.649999999999991,21.675900277008296
2024-07-01,98.28,Potatoes,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,95.4,87.85,72.2,59.24,91.91,85.14999999999999,11.833321596238322,75.23166666666667,13.606050737325159,7.550000000000011,8.594194649971557
2024-08-01,100.61,Potatoes,1 Kg,8,3,-0.8660254037844385,-0.5000000000000004,98.28,95.4,87.85,68.35,95.08,93.84333333333335,5.38643048162082,81.73833333333333,13.762958136486022,2.8799999999999955,3.018867924528297
2024-09-01,102.33,Potatoes,1 Kg,9,3,-1.0,-1.8369701987210297e-16,100.61,98.28,95.4,68.35,95.35,98.09666666666665,2.609833966622025,87.11500000000001,13.787937844362379,2.3299999999999983,2.370777370777369
2024-10-01,102.37,Potatoes,1 Kg,10,4,-0.8660254037844386,0.5000000000000001,102.33,100.61,98.28,72.2,98.13,100.40666666666668,2.0326419589623317,92.77833333333332,11.291298271973295,1.7199999999999989,1.7095716131597243
2024-11-01,110.93,Potatoes,1 Kg,11,4,-0.5000000000000004,0.8660254037844384,102.37,102.33,100.61,87.85,106.92,101.77,1.0047885349669448,97.80666666666667,5.555079357369007,0.04000000000000625,0.03908922114727475
2024-12-01,116.85,Potatoes,1 Kg,12,4,-2.4492935982947064e-16,1.0,110.93,102.37,102.33,95.4,83.25,105.21,4.9537056836273,101.65333333333332,5.264981164891985,8.560000000000002,8.36182475334571
2025-01-01,87.4,Potatoes,1 Kg,1,1,0.49999999999999994,0.8660254037844387,116.85,110.93,102.37,98.28,59.24,110.05000000000001,7.280000000000126,105.22833333333334,7.123915823945946,5.9199999999999875,5.336698819075081
2025-02-01,68.31,Potatoes,1 Kg,2,1,0.8660254037844386,0.5000000000000001,87.4,116.85,110.93,100.61,68.35,105.06,15.577814352469392,103.415,10.035855220159402,-29.44999999999999,-25.203252032520318
2025-03-01,62.95,Potatoes,1 Kg,3,1,1.0,6.123233995736766e-17,68.31,87.4,116.85,102.33,68.35,90.85333333333334,24.453568928345277,98.03166666666668,17.63067374398004,-19.090000000000003,-21.842105263157897
2025-04-01,63.61,Potatoes,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,62.95,68.31,87.4,102.37,72.2,72.88666666666667,12.85146035800338,91.46833333333332,22.396369720708464,-5.359999999999999,-7.846581759625238
2025-05-01,62.85,Potatoes,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,63.61,62.95,68.31,110.93,87.85,64.95666666666666,2.922761251510582,85.00833333333334,24.144720678994545,0.6599999999999966,1.048451151707699
2025-06-01,100.0,Potatoes,1 Kg,6,2,1.2246467991473532e-16,-1.0,62.85,63.61,62.95,116.85,95.4,63.13666666666666,0.4129568177565264,76.99499999999999,21.673096456205787,-0.759999999999998,-1.1947806948592958
2025-07-01,83.95,Potatoes,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,100.0,62.85,63.61,87.4,98.28,75.48666666666666,21.232570106638814,74.18666666666667,15.761371344736045,37.15,59.108989657915664
2025-08-01,81.92,Potatoes,1 Kg,8,3,-0.8660254037844385,-0.5000000000000004,83.95,100.0,62.85,68.31,100.61,82.26666666666667,18.63211832651705,73.61166666666666,15.237131510447314,-16.049999999999997,-16.049999999999997
2025-09-01,84.86,Potatoes,1 Kg,9,3,-1.0,-1.8369701987210297e-16,81.92,83.95,100.0,62.95,102.33,88.62333333333333,9.904626864921909,75.88,15.302938279951334,-2.030000000000001,-2.4181060154854093
2025-10-01,83.38,Potatoes,1 Kg,10,4,-0.8660254037844386,0.5000000000000001,84.86,81.92,83.95,63.61,102.37,83.57666666666667,1.5051356528009538,79.53166666666667,14.172840811448731,2.9399999999999977,3.5888671874999973
2025-11-01,80.4,Potatoes,1 Kg,11,4,-0.5000000000000004,0.8660254037844384,83.38,84.86,81.92,62.85,110.93,83.38666666666666,1.4700113378244895,82.82666666666667,11.836512436806157,-1.480000000000004,-1.7440490219184586
2025-12-01,64.68,Potatoes,1 Kg,12,4,-2.4492935982947064e-16,1.0,80.4,83.38,84.86,100.0,116.85,82.88,2.2716513817043236,85.75166666666667,7.155457823694229,-2.9799999999999898,-3.573998560805937
2026-01-01,45.03,Potatoes,1 Kg,1,1,0.49999999999999994,0.8660254037844387,64.68,80.4,83.38,83.95,87.4,76.15333333333332,10.04729482663528,79.86500000000001,7.603761569118291,-15.719999999999999,-19.552238805970145
2026-02-01,36.33,Potatoes,1 Kg,2,1,0.8660254037844386,0.5000000000000001,45.03,64.68,80.4,81.92,68.31,63.37,17.721351528593935,73.37833333333333,15.706144551310711,-19.650000000000006,-30.380333951762527
2026-03-01,31.12,Potatoes,1 Kg,3,1,1.0,6.123233995736766e-17,36.33,45.03,64.68,84.86,62.95,48.68,14.523171141317526,65.78000000000002,20.91232077030191,-8.700000000000003,-19.320453031312464
2026-04-01,33.9,Potatoes,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,31.12,36.33,45.03,83.38,63.61,37.49333333333333,7.02759086268766,56.82333333333333,22.55022719767293,-5.209999999999997,-14.340765207817224
2026-05-01,35.54,Potatoes,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,33.9,31.12,36.33,80.4,62.85,33.783333333333324,2.60695863667435,48.576666666666675,19.77241175645167,2.7799999999999976,8.933161953727499
2026-06-01,45.06,Potatoes,1 Kg,6,2,1.2246467991473532e-16,-1.0,35.54,33.9,31.12,64.68,100.0,33.51999999999999,2.2343679195686734,41.1,12.462489317949352,1.6400000000000006,4.837758112094397
2026-07-01,54.98,Potatoes,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,45.06,35.54,33.9,45.03,83.95,38.16666666666666,6.025855402623851,37.830000000000005,5.86644696558332,9.520000000000003,26.78671918964548
2024-03-01,311.92,Pulse Moong (Washed),1 Kg,3,1,1.0,6.123233995736766e-17,311.92,302.54,286.56,287.61,282.91,300.34,12.822339880068743,290.77833333333336,13.736773153352415,9.379999999999995,3.1004164738546955
2024-04-01,311.71,Pulse Moong (Washed),1 Kg,4,2,0.8660254037844387,-0.4999999999999998,311.92,311.92,302.54,279.57,280.94,308.79333333333335,5.4155455249988815,294.83,16.012060454544766,0.0,0.0
2024-05-01,308.75,Pulse Moong (Washed),1 Kg,5,2,0.49999999999999994,-0.8660254037844387,311.71,311.92,311.92,276.47,282.93,311.85,0.12124355654031446,300.18666666666667,15.243581818806941,-0.21000000000003638,-0.06732495511670825
2024-06-01,313.54,Pulse Moong (Washed),1 Kg,6,2,1.2246467991473532e-16,-1.0,308.75,311.71,311.92,286.56,269.75,310.79333333333335,1.772690986420293,305.56666666666666,9.990174506316714,-2.9599999999999795,-0.9496005902922523
2024-07-01,337.77,Pulse Moong (Washed),1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,313.54,308.75,311.71,302.54,263.26,311.3333333333333,2.4171126025354983,310.06333333333333,4.000463306500809,4.7900000000000205,1.5514170040485897
2024-08-01,341.16,Pulse Moong (Washed),1 Kg,8,3,-0.8660254037844385,-0.5000000000000004,337.77,313.54,308.75,311.92,269.94,320.02,15.557406596216618,315.935,10.809426904327117,24.22999999999996,7.7278816100019005
2024-09-01,336.24,Pulse Moong (Washed),1 Kg,9,3,-1.0,-1.8369701987210297e-16,341.16,337.77,313.54,311.92,287.61,330.8233333333333,15.063473481682127,320.80833333333334,14.57328160253059,3.390000000000043,1.0036415312194817
2024-10-01,357.86,Pulse Moong (Washed),1 Kg,10,4,-0.8660254037844386,0.5000000000000001,336.24,341.16,337.77,311.71,279.57,338.39000000000004,2.5179158047895704,324.8616666666667,14.983053649595451,-4.920000000000016,-1.442138586000708
2024-11-01,385.25,Pulse Moong (Washed),1 Kg,11,4,-0.5000000000000004,0.8660254037844384,357.86,336.24,341.16,308.75,276.47,345.08666666666676,11.332260733558126,332.55333333333334,18.348911321019933,21.620000000000005,6.429931001665478
2024-12-01,387.27,Pulse Moong (Washed),1 Kg,12,4,-2.4492935982947064e-16,1.0,385.25,357.86,336.24,313.54,286.56,359.7833333333333,24.56154378969988,345.30333333333334,24.159378027313736,27.389999999999986,7.653831107136864
2025-01-01,402.44,Pulse Moong (Washed),1 Kg,1,1,0.49999999999999994,0.8660254037844387,387.27,385.25,357.86,337.77,302.54,376.79333333333335,16.42782497269028,357.5916666666667,23.514466540124758,2.019999999999982,0.5243348475016176
2025-02-01,400.88,Pulse Moong (Washed),1 Kg,2,1,0.8660254037844386,0.5000000000000001,402.44,387.27,385.25,341.16,311.92,391.65333333333336,9.395968993847761,368.36999999999995,27.151760163937404,15.170000000000016,3.9171637358948583
2025-03-01,396.07,Pulse Moong (Washed),1 Kg,3,1,1.0,6.123233995736766e-17,400.88,402.44,387.27,336.24,311.92,396.8633333333333,8.34460504358049,378.3233333333333,26.108210713617346,-1.5600000000000023,-0.3876354239141244
2025-04-01,396.42,Pulse Moong (Washed),1 Kg,4,2,0.8660254037844387,-0.4999999999999998,396.07,400.88,402.44,357.86,311.71,399.7966666666666,3.320306210780726,388.295,16.465271027225025,-4.810000000000002,-1.199860307323888
2025-05-01,400.82,Pulse Moong (Washed),1 Kg,5,2,0.49999999999999994,-0.8660254037844387,396.42,396.07,400.88,385.25,308.75,397.78999999999996,2.681734513335615,394.72166666666664,7.034769126747641,0.35000000000002274,0.08836821773929426
2025-06-01,370.0,Pulse Moong (Washed),1 Kg,6,2,1.2246467991473532e-16,-1.0,400.82,396.42,396.07,387.27,313.54,397.77,2.64716829839271,397.31666666666666,5.559009504097069,4.399999999999977,1.1099339084808983
2025-07-01,398.37,Pulse Moong (Washed),1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,370.0,400.82,396.42,402.44,337.77,389.08,16.66957707921875,394.43833333333333,12.248011131062949,-30.819999999999993,-7.6892370640187595
2025-08-01,382.13,Pulse Moong (Washed),1 Kg,8,3,-0.8660254037844385,-0.5000000000000004,398.37,370.0,400.82,400.88,341.16,389.73,17.130537061050223,393.76,11.821500750749685,28.370000000000005,7.66756756756757
2025-09-01,387.18,Pulse Moong (Washed),1 Kg,9,3,-1.0,-1.8369701987210297e-16,382.13,398.37,370.0,396.07,336.24,383.5,14.234531955776228,390.635,12.039170652498276,-16.24000000000001,-4.076612194693378
2025-10-01,383.58,Pulse Moong (Washed),1 Kg,10,4,-0.8660254037844386,0.5000000000000001,387.18,382.13,398.37,396.42,357.86,389.2266666666667,8.311199271666455,389.15333333333336,11.780780392938434,5.050000000000011,1.3215397901237829
2025-11-01,377.9,Pulse Moong (Washed),1 Kg,11,4,-0.5000000000000004,0.8660254037844384,383.58,387.18,382.13,400.82,385.25,384.2966666666666,2.600160251474435,387.0133333333333,11.355297735710975,-3.6000000000000227,-0.9298000929800151
2025-12-01,381.49,Pulse Moong (Washed),1 Kg,12,4,-2.4492935982947064e-16,1.0,377.9,383.58,387.18,370.0,387.27,382.8866666666666,4.678689275143998,383.1933333333333,9.482492639946702,-5.680000000000007,-1.4807862766567619
2026-01-01,386.05,Pulse Moong (Washed),1 Kg,1,1,0.49999999999999994,0.8660254037844387,381.49,377.9,383.58,398.37,402.44,380.98999999999995,2.872820913320861,385.1083333333333,7.161316685264179,3.590000000000032,0.9499867689865129
2026-02-01,391.61,Pulse Moong (Washed),1 Kg,2,1,0.8660254037844386,0.5000000000000001,386.05,381.49,377.9,382.13,400.88,381.81333333333333,4.084609324445521,383.055,3.3508252714781355,4.560000000000002,1.1953131143673497
2026-03-01,388.49,Pulse Moong (Washed),1 Kg,3,1,1.0,6.123233995736766e-17,391.61,386.05,381.49,387.18,396.07,386.3833333333334,5.068227829660781,384.635,4.764328913916057,5.560000000000002,1.4402279497474426
2026-04-01,389.88,Pulse Moong (Washed),1 Kg,4,2,0.8660254037844387,-0.4999999999999998,388.49,391.61,386.05,383.58,396.42,388.7166666666667,2.7869218383995795,384.8533333333333,4.931371682062027,-3.1200000000000045,-0.7967110135083385
2026-05-01,389.73,Pulse Moong (Washed),1 Kg,5,2,0.49999999999999994,-0.8660254037844387,389.88,388.49,391.61,377.9,400.82,389.99333333333334,1.5630845573252388,385.90333333333336,5.265417995434298,1.3899999999999864,0.3577955674534702
2026-06-01,384.47,Pulse Moong (Washed),1 Kg,6,2,1.2246467991473532e-16,-1.0,389.73,389.88,388.49,381.49,370.0,389.3666666666666,0.7629110913786324,387.875,3.630106059053472,-0.14999999999997726,-0.03847337642350909
2026-07-01,368.16,Pulse Moong (Washed),1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,384.47,389.73,389.88,386.05,398.37,388.02666666666664,3.0810766516509007,388.37166666666667,2.6545840854347382,-5.259999999999991,-1.3496523234033795
2024-03-01,259.56,Pulse Gram,1 Kg,3,1,1.0,6.123233995736766e-17,259.56,257.78,239.56,250.1,255.62,252.29999999999998,11.069001761676567,245.215,12.457068274678438,1.7800000000000296,0.6905112886957987
2024-04-01,257.76,Pulse Gram,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,259.56,259.56,257.78,234.86,247.06,258.96666666666664,1.0276834791569405,246.79166666666666,13.732394425833641,0.0,0.0
2024-05-01,260.01,Pulse Gram,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,257.76,259.56,259.56,229.43,250.32,258.96,1.0392304845407296,250.60833333333335,12.910703182502003,-1.8000000000000114,-0.6934812760055522
2024-06-01,293.21,Pulse Gram,1 Kg,6,2,1.2246467991473532e-16,-1.0,260.01,257.76,259.56,239.56,243.96,259.10999999999996,1.1905880899785217,255.705,7.967995356424431,2.25,0.8729050279329609
2024-07-01,330.02,Pulse Gram,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,293.21,260.01,257.76,257.78,240.48,270.32666666666665,19.849454232631423,264.64666666666665,14.026320496362127,33.19999999999999,12.768739663859078
