Commodity,Model,Date,Forecast_Price,Lower_Bound,Upper_Bound
Pulse Moong (Washed),XGBoost,2027-03-01,391.0,351.9,430.1
Pulse Moong (Washed),XGBoost,2027-04-01,391.87,352.68,431.06
Pulse Moong (Washed),XGBoost,2027-05-01,391.75,352.57,430.92
Pulse Moong (Washed),XGBoost,2027-06-01,383.75,345.38,422.13
Pulse Moong (Washed),XGBoost,2027-07-01,374.08,336.68,411.49
Pulse Gram,Prophet,2026-08-01,257.68,245.61,294.4
Pulse Gram,Prophet,2026-09-01,292.33,253.96,327.62
Pulse Gram,Prophet,2026-10-01,305.65,269.56,341.95
Pulse Gram,Prophet,2026-11-01,304.36,269.27,345.43
Pulse Gram,Prophet,2026-12-01,284.15,245.61,321.54
Pulse Gram,Prophet,2027-01-01,245.61,245.61,259.43
Pulse Gram,Prophet,2027-02-01,245.61,245.61,245.61
Pulse Gram,Prophet,2027-03-01,245.61,245.61,278.52
Pulse Gram,Prophet,2027-04-01,245.61,245.61,260.18
Pulse Gram,Prophet,2027-05-01,245.61,245.61,249.58
Pulse Gram,Prophet,2027-06-01,245.61,245.61,245.61
Pulse Gram,Prophet,2027-07-01,245.61,245.61,245.61
Pulse Gram,XGBoost,2026-08-01,254.65,229.18,280.11
Pulse Gram,XGBoost,2026-09-01,258.49,232.64,284.34
Pulse Gram,XGBoost,2026-10-01,262.43,236.19,288.67
Pulse Gram,XGBoost,2026-11-01,260.58,234.52,286.63
Pulse Gram,XGBoost,2026-12-01,258.86,232.97,284.74
Pulse Gram,XGBoost,2027-01-01,259.48,233.53,285.42
Pulse Gram,XGBoost,2027-02-01,253.84,228.45,279.22
Pulse Gram,XGBoost,2027-03-01,251.8,226.62,276.98
Pulse Gram,XGBoost,2027-04-01,250.26,225.23,275.28
Pulse Gram,XGBoost,2027-05-01,249.68,224.71,274.65
Pulse Gram,XGBoost,2027-06-01,280.08,252.07,308.09
Pulse Gram,XGBoost,2027-07-01,292.58,263.32,321.83
Pulse Masoor (Washed),Prophet,2026-08-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2026-09-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2026-10-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2026-11-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2026-12-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-01-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-02-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-03-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-04-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-05-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-06-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-07-01,257.64,257.64,257.64
Pulse Masoor (Washed),XGBoost,2026-08-01,259.41,233.47,285.35
Pulse Masoor (Washed),XGBoost,2026-09-01,260.11,234.09,286.12
Pulse Masoor (Washed),XGBoost,2026-10-01,260.59,234.53,286.65
Pulse Masoor (Washed),XGBoost,2026-11-01,260.76,234.68,286.83
Pulse Masoor (Washed),XGBoost,2026-12-01,260.91,234.82,287.0
Pulse Masoor (Washed),XGBoost,2027-01-01,261.03,234.92,287.13
Pulse Masoor (Washed),XGBoost,2027-02-01,260.95,234.86,287.05
Pulse Masoor (Washed),XGBoost,2027-03-01,260.24,234.21,286.26
Pulse Masoor (Washed),XGBoost,2027-04-01,260.0,234.0,286.0
Pulse Masoor (Washed),XGBoost,2027-05-01,258.48,232.63,284.33
Pulse Masoor (Washed),XGBoost,2027-06-01,258.06,232.26,283.87
Pulse Masoor (Washed),XGBoost,2027-07-01,257.79,232.01,283.57
Pulse Mash (Washed),Prophet,2026-08-01,494.1,486.03,502.18
Pulse Mash (Washed),Prophet,2026-09-01,527.88,519.81,536.29
Pulse Mash (Washed),Prophet,2026-10-01,532.53,523.65,541.44
Pulse Mash (Washed),Prophet,2026-11-01,515.2,505.51,525.03
Pulse Mash (Washed),Prophet,2026-12-01,490.58,478.74,501.66
Pulse Mash (Washed),Prophet,2027-01-01,458.4,445.18,471.63
Pulse Mash (Washed),Prophet,2027-02-01,493.9,478.29,508.86
Pulse Mash (Washed),Prophet,2027-03-01,532.41,514.23,549.38
Pulse Mash (Washed),Prophet,2027-04-01,543.1,523.03,563.19
Pulse Mash (Washed),Prophet,2027-05-01,528.91,504.55,551.72
Pulse Mash (Washed),Prophet,2027-06-01,518.25,490.13,542.62
Pulse Mash (Washed),Prophet,2027-07-01,499.38,469.07,527.37
Pulse Mash (Washed),XGBoost,2026-08-01,447.51,402.76,492.26
Pulse Mash (Washed),XGBoost,2026-09-01,447.91,403.12,492.7
Pulse Mash (Washed),XGBoost,2026-10-01,450.07,405.06,495.08
Pulse Mash (Washed),XGBoost,2026-11-01,444.76,400.29,489.24
Pulse Mash (Washed),XGBoost,2026-12-01,439.4,395.46,483.34
Pulse Mash (Washed),XGBoost,2027-01-01,430.36,387.33,473.4
Pulse Mash (Washed),XGBoost,2027-02-01,455.05,409.54,500.55
Pulse Mash (Washed),XGBoost,2027-03-01,459.84,413.86,505.83
Pulse Mash (Washed),XGBoost,2027-04-01,470.36,423.32,517.39
Pulse Mash (Washed),XGBoost,2027-05-01,460.12,414.11,506.13
Pulse Mash (Washed),XGBoost,2027-06-01,460.55,414.5,506.61
Pulse Mash (Washed),XGBoost,2027-07-01,454.71,409.23,500.18
